customer_id,age,monthly_income,tenure_months,monthly_spend,transactions_per_month,support_tickets,satisfaction_score,city,segment,channel,premium_member,annual_spend,churn_next_month_confirmed,churn
C000001,42,,30.7,1783229.0,4,2,4.0,Surabaya,Gold,Branch,1,21398745.0,0,0
C000002,26,11677597.0,46.4,945542.0,3,1,3.0,Jakarta,Basic,App,0,11346502.0,0,0
C000003,47,23589735.0,11.3,3510855.0,2,0,4.0,Surabaya,Gold,App,1,42130261.0,0,0
C000004,49,3414850.0,22.7,317268.0,6,3,4.0,Makassar,Basic,App,0,3807220.0,0,0
C000005,18,6913621.0,5.6,628647.0,7,1,4.0,Surabaya,Silver,App,0,7543770.0,0,0
C000006,22,6203135.0,43.6,691548.0,2,1,4.0,Makassar,Basic,Web,0,8298575.0,0,0
C000007,40,2701794.0,12.8,1563775.0,3,2,1.0,Bandung,Basic,App,1,18765302.0,0,0
C000008,34,14333816.0,51.1,1563184.0,1,0,3.0,Surabaya,Basic,App,0,18758214.0,0,0
C000009,38,6894496.0,52.2,712185.0,4,0,4.0,Bandung,Basic,Web,0,8546223.0,0,0
C000010,28,12015995.0,24.3,716158.0,6,1,2.0,Surabaya,Silver,Web,0,8593896.0,1,1
C000011,49,29292049.0,23.4,3801897.0,3,2,4.0,Surabaya,Silver,App,0,45622769.0,0,0
C000012,47,6587392.0,8.0,789481.0,2,0,4.0,Surabaya,Basic,App,0,9473775.0,0,0
C000013,39,6345890.0,27.9,891206.0,7,0,3.0,Makassar,Silver,Web,0,10694478.0,0,0
C000014,52,8539537.0,46.1,454182.0,3,6,1.0,Surabaya,Basic,Web,0,5450181.0,0,0
C000015,44,13769109.0,33.3,1461889.0,5,5,2.0,Surabaya,Basic,App,0,17542662.0,1,1
C000016,28,5857655.0,64.5,804956.0,2,2,4.0,Jakarta,Basic,App,1,9659469.0,0,0
C000017,42,5654279.0,20.8,922494.0,6,1,4.0,Surabaya,Basic,App,0,11069924.0,0,0
C000018,26,14309099.0,20.8,1505265.0,4,2,1.0,Surabaya,Basic,App,0,18063178.0,1,1
C000019,49,9852184.0,13.5,1129470.0,3,1,3.0,Surabaya,Gold,Web,0,13553639.0,0,0
C000020,37,2598257.0,91.9,740676.0,4,4,1.0,Surabaya,Gold,Branch,0,8888116.0,1,1
